"","intensity","load"
"1",13102.681640625,0
"2",12633.234375,0
"3",14530.8520507812,1
"4",13184.533203125,0
"5",10090.6669921875,0
"6",11012.7065429688,4
"7",14732,0
"8",14793.2138671875,0
"9",13360.9169921875,0
"10",13934.751953125,2
"11",11925.5927734375,1
"12",11268.2900390625,0
"13",14868,4
"14",15511.912109375,2
"15",14992.2685546875,0
"16",12757.3330078125,0
"17",15854.93359375,0
"18",14518.857421875,3
"19",15897.3725585938,4
"20",15427.1474609375,2
"21",15786.6669921875,3
"22",14584.384765625,2
"23",13799.2255859375,3
"24",13416.888671875,0
"25",12283.3154296875,2
"26",10617.4599609375,1
"27",15222.6337890625,1
"28",13191.7294921875,0
"29",12068.1357421875,0
"30",12671.1616210938,0
"31",11733.1455078125,0
"32",15032.888671875,4
"33",12963.271484375,0
"34",13875.2001953125,2
"35",14494.5229492188,0
"36",10421.4682617188,1
"37",15352.4360351562,0
"38",10991.0947265625,4
"39",9895.87548828125,0
"40",14753.5927734375,4
"41",12111.7373046875,0
"42",10645.91015625,0
"43",15960.4365234375,2
"44",15500.38671875,2
"45",11776,2
"46",14250.6669921875,0
"47",13516.0380859375,3
"48",15937.3852539062,0
"49",13262.4799804688,0
"50",13318.62109375,3
"51",12644.2802734375,0
"52",11511.466796875,0
"53",9748.076171875,1
"54",15603.51171875,4
"55",15232,0
"56",14493.6015625,3
"57",15547.7333984375,3
"58",15114.6181640625,4
"59",13931.123046875,0
"60",14156.6220703125,4
"61",12181.9428710938,0
"62",11834.6259765625,3
"63",15776.7973632812,4
"64",14006.0258789062,3
"65",14090.240234375,3
"66",14186.4267578125,0
"67",15314.9428710938,0
"68",13195.296875,3
"69",13164.8740234375,0
"70",15865.8168945312,4
"71",11090.5810546875,1
"72",15776.5405273438,3
"73",11395.4130859375,4
"74",12563.361328125,0
"75",12930.8110351562,0
"76",12190.3984375,0
"77",8806.06494140625,0
"78",12952.935546875,1
"79",11575.23046875,0
"80",9323.48046875,0
"81",15352,0
"82",16128,2
"83",11059.9423828125,1
"84",14470.64453125,0
"85",14295.8803710938,0
"86",11168.9140625,0
"87",14231.1157226562,0
"88",15493.091796875,1
"89",15657.6352539062,4
"90",15203.83984375,4
"91",10727.2255859375,4
"92",14946.4619140625,0
"93",15098.115234375,0
"94",11918.7392578125,2
"95",14408.6274414062,0
"96",14315.8857421875,1
"97",13408.7109375,4
"98",13746.716796875,0
"99",13438.197265625,0
"100",14579.8095703125,0
"101",12998.193359375,2
"102",10878.2934570312,0
"103",15750.7373046875,2
"104",11648.8369140625,0
"105",14701.7138671875,0
"106",13733.734375,3
"107",13841.6469726562,4
"108",11036.984375,1
"109",11227.486328125,0
"110",13153.5234375,0
"111",11659.63671875,0
"112",16000.3974609375,9
"113",15590.400390625,0
"114",15270.49609375,0
"115",15350.2250976562,0
"116",13536.2333984375,0
"117",14578.0849609375,4
"118",14163.3095703125,0
"119",15644.248046875,0
"120",11721.845703125,0
"121",11175.494140625,0
"122",15620.6547851562,4
"123",13133.2060546875,3
"124",15898.685546875,4
"125",10701.2211914062,0
"126",14013.0771484375,3
"127",15331.83984375,2
"128",10969.8896484375,1
"129",14014.892578125,0
"130",15228.541015625,4
"131",13928.91796875,0
"132",11632,0
"133",14121.6748046875,3
"134",13217.5234375,0
"135",14584.9189453125,0
"136",13044.9228515625,1
"137",15981.7138671875,9
"138",15827.478515625,0
"139",13551.6591796875,4
"140",14317.7856445312,1
"141",13934.1557617188,2
"142",15058.5810546875,1
"143",15847.1225585938,4
"144",10665.810546875,0
"145",14492.9555664062,1
"146",15825.7080078125,2
"147",9218.3974609375,0
"148",15141.84375,0
"149",14798.982421875,1
"150",14718.9423828125,1
"151",14267.0771484375,0
"152",14978.7041015625,0
"153",14151.111328125,2
"154",13024.5244140625,0
"155",15316.5283203125,3
"156",11794.4931640625,3
"157",15849.5854492188,0
"158",15230.0703125,4
"159",13878.6240234375,0
"160",11712.9140625,1
"161",15467.51953125,4
"162",10678.2534179688,1
"163",11408.7724609375,3
"164",15228.8779296875,0
"165",15602.8720703125,0
"166",12772.1889648438,3
"167",15805.1254882812,4
"168",15150.0200195312,0
"169",15367.8046875,4
"170",12833.8828125,0
